Tipo,DescTipo,SubTipo,Desc
1,"Ramo de Incapacidad",1,"Riesgos de Trabajo"
1,"Ramo de Incapacidad",2,"Enfermedad General"
1,"Ramo de Incapacidad",3,"Maternidad"
2,"Tipo de Riesgo",1,"Accidente de Trabajo"
2,"Tipo de Riesgo",2,"Accidente de Trayecto"
2,"Tipo de Riesgo",3,"Enfermedad Profesional"
3,"Secuelas",0,"Ninguna"
3,"Secuelas",1,"Incapacidad Temporal"
3,"Secuelas",2,"Valuacion Inicial Provisional"
3,"Secuelas",3,"Valuacion Inicial Definitiva"
3,"Secuelas",4,"Defuncion"
3,"Secuelas",5,"Recaida"
3,"Secuelas",6,"Valuacion Post. Al a Fecha de Alta"
3,"Secuelas",7,"Revaluacion Provisional"
3,"Secuelas",8,"Recaida sin alta medica"
3,"Secuelas",9,"Revaluacion definitiva"
4,"Control de la Incapacidad",0,"Ninguna"
4,"Control de la Incapacidad",1,"Unica"
4,"Control de la Incapacidad",2,"Inicial"
4,"Control de la Incapacidad",3,"Subsecuente"
4,"Control de la Incapacidad",4,"Alta Medica o ST-2"
4,"Control de la Incapacidad",5,"Valuacion o ST-3"
4,"Control de la Incapacidad",6,"Defuncion o ST-3"
4,"Control de la Incapacidad",7,"Prenatal"
4,"Control de la Incapacidad",8,"Enlace"
4,"Control de la Incapacidad",9,"Postnatal"
