IdClave,IdCodPos,Descripcion,CveCurp
"01","20","AGUASCALIENTES","AS"
"02","21 22","BAJA CALIFORNIA NORTE","BC"
"03","23","BAJA CALIFORNIA SUR","BS"
"04","24","CAMPECHE","CC"
"05","25 26 27","COAHUILA","CL"
"06","28","COLIMA","CM"
"07","29 30","CHIAPAS","CS"
"08","31 32 33","CHIHUAHUA","CH"
"09","01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16","DISTRITO FEDERAL","DF"
"10","34 35","DURANGO","DG"
"11","36 37 38","GUANAJUATO","GT"
"12","39 40 41","GUERRERO","GR"
"13","42 43","HIDALGO","HG"
"14","44 45 46 47 48 49","JALISCO","JC"
"15","50 51 52 53 54 55 56 57","ESTADO DE MEXICO","MC"
"16","58 59 60 61","MICHOACAN","MN"
"17","62","MORELOS","MS"
"18","63","NAYARIT","NT"
"19","64 65 66 67","NUEVO LEON","NL"
"20","68 69 70 71","OAXACA","OC"
"21","72 73 74 75","PUEBLA","PL"
"22","76","QUERETARO","QT"
"23","77","QUINTANA ROO","QR"
"24","78 79","SAN LUIS POTOSI","SP"
"25","80 81 82","SINALOA","SL"
"26","83 84 85","SONORA","SR"
"27","86","TABASCO","TC"
"28","87 88 89","TAMAULIPAS","TS"
"29","90","TLAXCALA","TL"
"30","91 92 93 94 95 96","VERACRUZ","VZ"
"31","97","YUCATAN","YN"
"32","98 99","ZACATECAS","ZS"
"35","00","EXTRANJEROS","NE"
