Ano,Factor_Si,Factor_No
"1997",2.9000,2.9000
"1998",2.9000,2.9000
"1999",2.9000,2.9000
"2000",2.9000,2.9000
"2001",2.9000,2.9000
"2002",2.2000,2.7000
"2003",2.2000,2.5000
"2004",2.2000,2.3000
"2005",2.2000,2.3000
"2006",2.2000,2.3000
"2007",2.2000,2.3000
"2008",2.2000,2.3000
"2009",2.2000,2.3000
"2010",2.2000,2.3000
"2011",2.2000,2.3000
"2012",2.2000,2.3000
"2013",2.2000,2.3000
"2014",2.2000,2.3000
"2015",2.2000,2.3000
"2016",2.2000,2.3000
"2017",2.2000,2.3000
"2018",2.2000,2.3000
"2019",2.2000,2.3000
"2020",2.2000,2.3000
