FEC_INI,FEC_TER,ZONAA,AumentoA,ZONAB,AumentoB,ZONAC,AumentoC
"11/11/91 00:00:00","12/31/92 00:00:00",13.3300,0.0000,12.3200,0.0000,11.1200,0.0000
"01/01/93 00:00:00","12/31/93 00:00:00",14.2700,0.0000,13.2600,0.0000,12.0500,0.0000
"01/01/94 00:00:00","12/31/94 00:00:00",15.2700,0.0000,14.1900,0.0000,12.8900,0.0000
"01/01/95 00:00:00","03/30/95 00:00:00",16.3400,0.0000,15.1800,0.0000,13.7900,0.0000
"04/01/95 00:00:00","12/03/95 00:00:00",18.3000,0.0000,17.0000,0.0000,15.4400,0.0000
"12/04/95 00:00:00","03/31/96 00:00:00",20.1500,0.0000,18.7000,0.0000,17.0000,0.0000
"04/01/96 00:00:00","12/02/96 00:00:00",22.6000,0.0000,20.9500,0.0000,19.0500,0.0000
"12/03/96 00:00:00","12/31/97 00:00:00",26.4500,0.0000,24.5000,0.0000,22.5000,0.0000
"01/01/98 00:00:00","12/02/98 00:00:00",30.2000,0.0000,28.0000,0.0000,26.0500,0.0000
"12/03/98 00:00:00","12/31/99 00:00:00",34.4500,0.0000,31.9000,0.0000,29.7000,0.0000
"01/01/00 00:00:00","12/31/00 00:00:00",37.9000,0.0000,35.1000,0.0000,32.7000,0.0000
"01/01/01 00:00:00","12/31/01 00:00:00",40.3500,0.0000,37.9500,0.0000,35.8500,0.0000
"01/01/02 00:00:00","12/31/02 00:00:00",42.1500,0.0000,40.1000,0.0000,38.3000,0.0000
"01/01/03 00:00:00","12/31/03 00:00:00",43.6500,0.0000,41.8500,0.0000,40.3000,0.0000
"01/01/04 00:00:00","12/31/04 00:00:00",45.2400,0.0000,43.7300,0.0000,42.1100,0.0000
"01/01/05 00:00:00","12/31/05 00:00:00",46.8000,0.0000,45.3500,0.0000,44.0500,0.0000
"01/01/06 00:00:00","12/31/06 00:00:00",48.6700,0.0000,47.1600,0.0000,45.8100,0.0000
"01/01/07 00:00:00","12/31/07 00:00:00",50.5700,0.0000,49.0000,0.0000,47.6000,0.0000
"01/01/08 00:00:00","12/31/08 00:00:00",52.5900,0.0000,50.9600,0.0000,49.5000,0.0000
"01/01/09 00:00:00","12/31/09 00:00:00",54.8000,0.0000,53.2600,0.0000,51.9500,0.0000
"01/01/10 00:00:00","12/31/10 00:00:00",57.4600,0.0000,55.8400,0.0000,54.4700,0.0000
"01/01/11 00:00:00","12/31/11 00:00:00",59.8200,0.0000,58.1300,0.0000,56.7000,0.0000
"01/01/12 00:00:00","11/26/12 00:00:00",62.3300,0.0000,60.5700,0.0000,59.0800,0.0000
"11/27/12 00:00:00","12/31/12 00:00:00",62.3300,0.0000,62.3300,0.0000,59.0800,0.0000
"01/01/13 00:00:00","12/31/13 00:00:00",64.7600,0.0000,64.7600,0.0000,61.3800,0.0000
"01/01/14 00:00:00","12/31/14 00:00:00",67.2900,0.0000,67.2900,0.0000,63.7700,0.0000
"01/01/15 00:00:00","03/31/15 00:00:00",70.1000,0.0000,70.1000,0.0000,66.4500,0.0000
"04/01/15 00:00:00","09/30/15 00:00:00",70.1000,0.0000,70.1000,0.0000,68.2800,0.0000
"10/01/15 00:00:00","12/31/15 00:00:00",70.1000,0.0000,70.1000,0.0000,70.1000,0.0000
"01/01/16 00:00:00","12/31/16 00:00:00",73.0400,0.0000,73.0400,0.0000,73.0400,0.0000
"01/01/17 00:00:00","11/30/17 00:00:00",80.0400,0.0000,80.0400,0.0000,80.0400,0.0000
"12/01/17 00:00:00","12/31/99 00:00:00",88.3600,0.0000,88.3600,0.0000,88.3600,0.0000
