IdClaveDel,IdClaveSub,Descripcion
"01","0101","METROPOLITANA NORTE"
"01","0119","METROPOLITANA SUR"
"02","0201","MEXICALI"
"02","0202","TECATE"
"02","0203","ENSENADA"
"02","0205","TIJUANA"
"03","0301","LA PAZ"
"03","0308","LOS CABOS"
"04","0401","CAMPECHE"
"04","0404","CIUDAD DEL CARMEN"
"05","0503","SALTILLO"
"05","0509","TORREON"
"05","0511","CIUDAD ACUÑA"
"05","0512","PIEDRAS NEGRAS"
"05","0517","MONCLOVA"
"05","0523","SABINAS"
"06","0601","COLIMA"
"06","0603","MANZANILLO"
"06","0607","TECOMAN"
"07","0701","TUXTLA GUTIERREZ"
"07","0702","TAPACHULA"
"08","0801","CHIHUAHUA"
"08","0803","CIUDAD CUAUHTEMOC"
"08","0805","CIUDAD DELICIAS"
"08","0808","NUEVO CASAS GRANDES"
"08","0810","JUAREZ 1"
"08","0822","HIDALGO DEL PARRAL"
"08","0860","JUAREZ 2"
"10","1001","DURANGO"
"10","1013","GOMEZ PALACIO"
"11","1101","GUANAJUATO"
"11","1105","IRAPUATO"
"11","1108","CELAYA"
"11","1114","SALAMANCA"
"11","1117","LEON"
"12","1201","CHILPANCINGO"
"12","1202","ACAPULCO"
"12","1203","IGUALA"
"12","1213","ZIHUATANEJO"
"13","1301","PACHUCA"
"13","1305","TULANCINGO"
"13","1307","CIUDAD SAHAGUN"
"13","1310","TULA"
"14","1412","TEPATITLAN"
"14","1415","OCOTLAN"
"14","1422","CIUDAD GUZMAN"
"14","1438","HIDALGO"
"14","1439","LIBERTAD REFORMA"
"14","1440","JUAREZ"
"14","1450","PUERTO VALLARTA"
"15","1506","TLANEPANTLA"
"15","1554","ECATEPEC"
"15","1580","LOS REYES LA PAZ"
"16","1601","TOLUCA"
"16","1605","NAUCALPAN"
"17","1703","MORELIA"
"17","1709","URUAPAN"
"17","1713","ZAMORA"
"17","1717","ZITACUARO"
"17","1727","LAZARO CARDENAS"
"18","1801","CUERNAVACA"
"18","1811","CUAUTLA"
"18","1815","ZACATEPEC"
"19","1901","TEPIC"
"20","2006","MONTEMORELOS"
"20","2008","APODACA"
"20","2031","No. 2 NORESTE"
"20","2032","No. 1 NOROESTE"
"20","2033","No. 4 SURESTE"
"20","2034","No. 3 SUROESTE"
"21","2102","OAXACA"
"21","2103","SALINA CRUZ"
"21","2104","TUXTEPEC"
"21","2153","SANTA MARIA HUATULCO"
"22","2201","PUEBLA NORTE"
"22","2205","TEZIUTLAN"
"22","2206","TEHUACAN"
"22","2208","IZUCAR DE MATAMOROS"
"22","2222","PUEBLA SUR"
"23","2301","QUERETARO"
"23","2303","SAN JUAN DEL RIO"
"24","2401","CHETUMAL"
"24","2402","PLAYA DEL CARMEN"
"24","2407","CANCUN"
"25","2501","METROPOLITANA ORIENTE"
"25","2503","MATEHUALA"
"25","2505","CIUDAD VALLES"
"25","2560","METROPOLITANA PONIENTE"
"26","2601","CULIACAN"
"26","2603","LOS MOCHIS"
"26","2604","GUASAVE"
"26","2605","MAZATLAN"
"27","2701","HERMOSILLO"
"27","2703","GUAYMAS"
"27","2704","SAN LUIS RIO COLORADO"
"27","2707","NAVOJOA"
"27","2710","NOGALES"
"27","2713","CABORCA"
"27","2751","AGUA PRIETA"
"27","2757","NACOZARI"
"27","2770","CIUDAD OBREGON"
"28","2801","VILLA HERMOSA"
"28","2802","CARDENAS"
"29","2901","CIUDAD VICTORIA"
"29","2904","REYNOSA"
"29","2910","TAMPICO"
"29","2913","CIUDAD MANTE"
"29","2918","NUEVO LAREDO"
"29","2919","MATAMOROS"
"30","3001","TLAXCALA"
"31","3102","JALAPA"
"31","3107","POZA RICA"
"31","3109","MARTINEZ DE LA TORRE"
"31","3112","VERACRUZ"
"31","3125","LERDO DE TEJADA"
"32","3202","CORDOBA"
"32","3203","ORIZABA"
"32","3238","COSAMALOAPAN"
"32","3245","COATZACOALCOS"
"33","3301","MERIDA NORTE"
"33","3333","MERIDA SUR"
"34","3401","ZACATECAS"
"34","3409","FRESNILLO"
"39","3911","MAGDALENA DE LAS SALINAS"
"39","3916","POLANCO"
"39","3954","SANTA MARIA LA RIBERA"
"39","3956","GUERRERO"
"39","3957","CENTRO"
"40","4001","SAN ANGEL"
"40","4006","DEL VALLE"
"40","4011","SANTA ANITA"
"40","4054","CHURUBUSCO"
"40","4058","PIEDAD NARVARTE"
