Version,Descripcion,Contribucion,Reg02TipDoc,Reg02NumCre,Reg03Codifica,Reg06Reversion
"00","Empresa Tripartita","3","S","N","S","N"
"01","Reversion de Cuotas Tripartita","3","S","N","S","S"
"02","Intercambio de Servicios Tripartita","3","S","N","S","S"
"03","Diferencias Complementarias Tripartita","3","S","N","S","N"
"04","Diferencias Complementarias Reversión Tripartita","3","S","N","S","S"
"05","Diferencias Complemantarias Intercambio de Servicios Tripartita","3","S","N","S","S"
"06","Diferencias SIVEPA Tripartita","3","S","S","S","N"
"07","Diferencias SIVEPA Reversión de Cuotas Tripartita","3","S","S","S","S"
"08","Diferencias SIVEPA Intercambio de Servicios Tripartita","3","S","S","S","S"
"09","Resultados de Auditoría Tripartita","3","S","N","S","N"
"10","Resultados de Auditoría Reversión de Cuotas Tripartita","3","S","N","S","S"
"11","Resultados de Auditoría Intercambio de Servicios Tripartita","3","S","N","S","S"
"12","Parcialidad Obrero Patronal Tripartita","3","S","S","S","N"
"13","Parcialidad Obrero Tripartita","3","S","S","S","N"
"14","Parcialidad Patronal Tripartita","3","S","S","N","N"
"15","Convenio Obrero Patronal Tripartita","3","S","S","S","N"
"16","Convenio Patronal Tripartita","3","S","S","N","N"
"17","Pago Cuota Obrera Tripartita","3","S","N","S","N"
"18","Pago Cuota Patronal Tripartita","3","S","N","N","N"
"19","Empresa Bipartita","2","S","N","S","N"
"20","Reversión de Cuotas Bipartita","2","S","N","S","S"
"21","Intercambio de Servicios Bipartita","2","S","N","S","S"
"22","Diferencias Complementarias Bipartita","2","S","N","S","N"
"23","Diferencias Complementarias Reversión de Cuotas Bipartita","2","S","N","S","S"
"24","Diferencias Complementarias Intercambio de Servicios Bipartita","2","S","N","S","S"
"25","Diferencias SIVEPA Bipartita","2","S","S","S","N"
"26","Diferencias SIVEPA Reversión de Cuotas Bipartita","2","S","S","S","S"
"27","Diferencias SIVEPA Intercambio de Servicios Bipartita","2","S","S","S","S"
"28","Resultados de Auditoría Bipartita","2","S","N","S","N"
"29","Resultados de Auditoría Reversión de Cuotas Bipartita","2","S","N","S","S"
"30","Resultados de Auditoría Intercambio de Servicios Bipartita","2","S","N","S","S"
"31","Parcialidad Bipartita","2","S","S","S","N"
"32","Convenio Bipartita","2","S","S","S","N"
"33","Pago en Papel (PROCESAR)","3","S","N","S","N"
"34","Empresa con Valuación","3","S","N","S","N"
"35","Diferencias complementarias Empresa con Valuación","3","S","N","S","N"
"36","Decreto","3","N","N","N","N"
"37","Convenio en Parcialidades","3","N","N","N","N"
"38","Amortización","3","S","N","S","N"
"39","Fiscalización","3","N","N","N","N"
"87","Modalidad 14","3","S","N","S","N"
"88","Modalidad 30","3","S","N","S","N"
"89","Modalidad 34","3","S","N","S","N"
"90","Modalidad 35","3","S","N","S","N"
"91","Modalidad 36","3","S","N","S","N"
"92","Modalidad 40 Individual","3","S","N","S","N"
"93","Modalidad 40 Colectiva","3","S","N","S","N"
"94","Modalidad 42","3","S","N","S","N"
"95","Modalidad 43 Individual","3","S","N","S","N"
"96","Modalidad 43 Colectiva","3","S","N","S","N"
"97","Modalidad 44 Individual","3","S","N","S","N"
"98","Modalidad 44 Colectiva","3","S","N","S","N"
"99","Modalidad 45","3","S","N","S","N"
"86","Modalidad 38","3","S","N","S","N"
